label,measured_ml,start_ts,end_ts,integral_mean,integral_std,baseline_mean,baseline_std,samples,notes
run53,53.000,2025-11-25T07:41:35Z,2025-11-25T07:41:47Z,753.3658695652173,370.4604347826087,133.76521739130433,28.617391304347827,52,
run43,43.000,2025-11-25T13:28:20Z,2025-11-25T13:28:32Z,871.4484666666667,516.6066000000001,98.87413333333333,41.30653333333333,50,
run33,33.000,2025-11-25T13:30:55Z,2025-11-25T13:31:06Z,319.3324399999999,378.35348000000005,114.76752000000002,58.38831999999999,45,
run10,10.000,2025-11-25T13:34:20Z,2025-11-25T13:34:29Z,380.63894117647055,180.3668823529411,111.9960588235294,67.29423529411766,36,
